index,baseline_mode,r,cat_bits_total,P_collapse
FLAT,aligned,1e-09,0.0,0.0
FLAT,aligned,1e-08,0.0,0.0
FLAT,aligned,1e-07,0.0,0.0
FLAT,aligned,1e-06,0.0,0.0
FLAT,aligned,1e-05,0.0,0.0
HNSW,aligned,1e-09,0.0,0.0
HNSW,aligned,1e-08,0.0,0.0
HNSW,aligned,1e-07,0.0,0.0
HNSW,aligned,1e-06,0.0,0.0
HNSW,aligned,1e-05,0.0,0.0
HNSW_SQ8,aligned,1e-09,1406.0,1.4059990115500298e-06
HNSW_SQ8,aligned,1e-08,1406.0,1.4059901158658406e-05
HNSW_SQ8,aligned,1e-07,1406.0,0.00014059011628320128
HNSW_SQ8,aligned,1e-06,1406.0,0.0014050120450758152
HNSW_SQ8,aligned,1e-05,1406.0,0.013961619814853776
IVF_FLAT,aligned,1e-09,0.0,0.0
IVF_FLAT,aligned,1e-08,0.0,0.0
IVF_FLAT,aligned,1e-07,0.0,0.0
IVF_FLAT,aligned,1e-06,0.0,0.0
IVF_FLAT,aligned,1e-05,0.0,0.0
IVF_PQ_M16,own,1e-09,0.0,0.0
IVF_PQ_M16,own,1e-08,0.0,0.0
IVF_PQ_M16,own,1e-07,0.0,0.0
IVF_PQ_M16,own,1e-06,0.0,0.0
IVF_PQ_M16,own,1e-05,0.0,0.0
IVF_PQ_M8,own,1e-09,0.0,0.0
IVF_PQ_M8,own,1e-08,0.0,0.0
IVF_PQ_M8,own,1e-07,0.0,0.0
IVF_PQ_M8,own,1e-06,0.0,0.0
IVF_PQ_M8,own,1e-05,0.0,0.0
IVF_SQ8,aligned,1e-09,2983.0,2.9829955509041994e-06
IVF_SQ8,aligned,1e-08,2983.0,2.982955509001073e-05
IVF_SQ8,aligned,1e-07,2983.0,0.00029825551297857356
IVF_SQ8,aligned,1e-06,2983.0,0.0029785552761355527
IVF_SQ8,aligned,1e-05,2983.0,0.029389476687055938
