index,region,kind,bucket,bit_position_tag,region_bits,n_samples,mean_dRecall@10,p99_dRecall@10,max_dRecall@10,mean_dRecall@1,mean_dRecall@100,mean_dTol,pct_benign,pct_catastrophic,pct_collapse,ci95_low,ci95_high,n_clean,n_silent_wrong,n_nan_inf,n_crash,seed
RABITQ,bin_code,codes,recall_relevant,bin_sign,128,960,9.479166666616588e-07,1.999999999990898e-05,4.0000000000040004e-05,2.1874999999997593e-06,,,100.0,0.0,0.0,6.905255708747397e-07,1.2053077624485778e-06,884,76,0,0,1234
RABITQ,bin_factors,sq_scale,recall_relevant,f_add:exponent,96,240,5.416666666642016e-07,9.99999999995449e-06,9.99999999995449e-06,0.0,,,100.0,0.0,0.0,2.5324539967259615e-07,8.30087933655807e-07,227,13,0,0,1234
RABITQ,bin_factors,sq_scale,recall_relevant,f_add:mantissa-high,96,450,2.222222222212109e-08,0.0,9.99999999995449e-06,0.0,,,100.0,0.0,0.0,-2.1450254846355124e-08,6.58946992905973e-08,449,1,0,0,1234
RABITQ,bin_factors,sq_scale,recall_relevant,f_add:mantissa-low,96,240,0.0,0.0,0.0,0.0,,,100.0,0.0,0.0,0.0,0.0,240,0,0,0,1234
RABITQ,bin_factors,sq_scale,recall_relevant,f_add:sign,96,30,0.0,0.0,0.0,0.0,,,100.0,0.0,0.0,0.0,0.0,30,0,0,0,1234
RABITQ,bin_factors,sq_scale,recall_relevant,f_error:exponent,96,240,0.0,0.0,0.0,0.0,,,100.0,0.0,0.0,0.0,0.0,240,0,0,0,1234
RABITQ,bin_factors,sq_scale,recall_relevant,f_error:mantissa-high,96,450,0.0,0.0,0.0,0.0,,,100.0,0.0,0.0,0.0,0.0,450,0,0,0,1234
RABITQ,bin_factors,sq_scale,recall_relevant,f_error:mantissa-low,96,240,0.0,0.0,0.0,0.0,,,100.0,0.0,0.0,0.0,0.0,240,0,0,0,1234
RABITQ,bin_factors,sq_scale,recall_relevant,f_error:sign,96,30,9.99999999995449e-07,9.99999999995449e-06,9.99999999995449e-06,0.0,,,100.0,0.0,0.0,-1.3936883013605477e-07,2.139368830126953e-06,27,3,0,0,1234
RABITQ,bin_factors,sq_scale,recall_relevant,f_rescale:exponent,96,240,4.999999999977245e-07,9.99999999995449e-06,9.99999999995449e-06,0.0,,,100.0,0.0,0.0,2.2228411466423778e-07,7.777158853312113e-07,228,12,0,0,1234
RABITQ,bin_factors,sq_scale,recall_relevant,f_rescale:mantissa-high,96,450,0.0,0.0,0.0,0.0,,,100.0,0.0,0.0,0.0,0.0,450,0,0,0,1234
RABITQ,bin_factors,sq_scale,recall_relevant,f_rescale:mantissa-low,96,240,0.0,0.0,0.0,0.0,,,100.0,0.0,0.0,0.0,0.0,240,0,0,0,1234
RABITQ,bin_factors,sq_scale,recall_relevant,f_rescale:sign,96,30,1.3333333333272653e-06,9.99999999995449e-06,9.99999999995449e-06,0.0,,,100.0,0.0,0.0,4.229691154506053e-08,2.62436975510947e-06,26,4,0,0,1234
RABITQ,centroids,centroid,recall_relevant,centroid:exponent,65536,64,0.03865656249999996,0.11636000000000002,0.11636000000000002,0.03903281249999996,,,1.5625,68.75,0.0,0.03030600509757643,0.04700711990242348,0,64,0,0,1234
RABITQ,centroids,centroid,recall_relevant,centroid:mantissa-high,65536,60,0.0002814999999999808,0.00530739999999994,0.006569999999999965,0.000303333333333324,,,81.66666666666667,0.0,0.0,9.684173702843163e-06,0.0005533158262971185,38,22,0,0,1234
RABITQ,centroids,centroid,recall_relevant,centroid:mantissa-low,65536,64,0.0,0.0,0.0,0.0,,,100.0,0.0,0.0,0.0,0.0,64,0,0,0,1234
RABITQ,centroids,centroid,recall_relevant,centroid:sign,65536,64,0.01295124999999996,0.04357149999999991,0.04794999999999994,0.013167187499999955,,,0.0,43.75,0.0,0.009992696962617181,0.015909803037382736,0,64,0,0,1234
RABITQ,cluster_id,codes_meta,recall_relevant,ptr_high,32,362,0.0016190449438201996,0.004390000000000005,0.004390000000000005,0.015270786516853884,,,2.4861878453038675,50.828729281767956,0.0,0.0014429195293718668,0.0017951703582685323,9,169,0,184,1234
RABITQ,cluster_id,codes_meta,recall_relevant,ptr_low,32,358,0.001185363128491597,0.004390000000000005,0.004390000000000005,0.01116173184357539,,,31.00558659217877,0.0,0.0,0.0010575469971529294,0.0013131792598302645,99,259,0,0,1234
RABITQ,ex_code,codes,recall_relevant,ex_code,768,960,3.0208333333195855e-07,9.99999999995449e-06,9.99999999995449e-06,0.0,,,100.0,0.0,0.0,1.9361827453693468e-07,4.1054839212698244e-07,931,29,0,0,1234
RABITQ,ex_factors,sq_scale,recall_relevant,f_add_ex:exponent,64,240,3.7333333333307296e-05,0.00016999999999989246,0.00016999999999989246,0.00037416666666664305,,,84.58333333333333,0.0,0.0,3.1128358199016676e-05,4.3538308467597916e-05,103,137,0,0,1234
RABITQ,ex_factors,sq_scale,recall_relevant,f_add_ex:mantissa-high,64,450,6.888888888857537e-07,1.999999999990898e-05,2.999999999986347e-05,2.666666666666373e-06,,,100.0,0.0,0.0,3.650444789861075e-07,1.0127332987853998e-06,429,21,0,0,1234
RABITQ,ex_factors,sq_scale,recall_relevant,f_add_ex:mantissa-low,64,240,0.0,0.0,0.0,0.0,,,100.0,0.0,0.0,0.0,0.0,240,0,0,0,1234
RABITQ,ex_factors,sq_scale,recall_relevant,f_add_ex:sign,64,30,6.466666666662031e-05,0.00016999999999989246,0.00016999999999989246,0.00072666666666662,,,73.33333333333333,0.0,0.0,4.6328075712918785e-05,8.300525762032184e-05,0,30,0,0,1234
RABITQ,ex_factors,sq_scale,recall_relevant,f_rescale_ex:exponent,64,240,3.787499999998306e-05,0.00015999999999993797,0.00015999999999993797,0.0004120833333333074,,,82.5,0.0,0.0,3.2015905777807946e-05,4.373409422215817e-05,93,147,0,0,1234
