shape,region,seed,arm,recall,delta_recall,outcome,bits_flipped,coverage_bytes,elements_crc_fail,fallbacks,cliff_repaired,oob_restored
device_column,centroids,2543521301,off,,,crash,512,512,,,,
device_column,centroids,2543521301,on,0.9836,0.00016,tolerated,512,512,180,1478,1,43
device_column,centroids,393276138,off,,,crash,512,512,,,,
device_column,centroids,393276138,on,0.98356,0.0002,tolerated,512,512,180,1550,1,271
device_column,centroids,4189894865,off,,,crash,512,512,,,,
device_column,centroids,4189894865,on,0.98363,0.00013,tolerated,512,512,181,1507,1,270
device_column,centroids,4287490961,off,,,crash,512,512,,,,
device_column,centroids,4287490961,on,0.9835200000000001,0.00024,tolerated,512,512,180,1526,1,270
device_column,centroids,3946985034,off,,,crash,512,512,,,,
device_column,centroids,3946985034,on,0.9831,0.00066,tolerated,512,512,181,1499,1,240
device_column,centroids,4115673006,off,,,crash,512,512,,,,
device_column,centroids,4115673006,on,0.9835499999999999,0.00021,tolerated,512,512,180,1567,1,30
device_column,centroids,1037361354,off,,,crash,512,512,,,,
device_column,centroids,1037361354,on,0.9836199999999999,0.00014,tolerated,512,512,180,1354,1,4
device_column,centroids,304107930,off,0.9416100000000001,0.04215,silent_wrong,512,512,,,,
device_column,centroids,304107930,on,0.98368,8e-05,tolerated,512,512,180,1424,1,30
device_column,centroids,1281521455,off,,,crash,512,512,,,,
device_column,centroids,1281521455,on,0.98173,0.00203,tolerated,512,512,181,1526,1,270
device_column,centroids,1460888054,off,,,crash,512,512,,,,
device_column,centroids,1460888054,on,0.9835499999999999,0.00021,tolerated,512,512,181,1573,1,270
device_column,centroids,4280893,off,,,crash,512,512,,,,
device_column,centroids,4280893,on,0.98363,0.00013,tolerated,512,512,180,1686,1,271
device_column,centroids,3461492968,off,0.98364,0.00012,tolerated,512,512,,,,
device_column,centroids,3461492968,on,0.9836600000000001,0.0001,tolerated,512,512,180,1598,1,0
device_column,centroids,3560802460,off,0.98367,9e-05,tolerated,512,512,,,,
device_column,centroids,3560802460,on,0.9836600000000001,0.0001,tolerated,512,512,181,1489,1,0
device_column,centroids,255655277,off,0.9837400000000001,2e-05,tolerated,512,512,,,,
device_column,centroids,255655277,on,0.98363,0.00013,tolerated,512,512,180,1690,1,7
device_column,centroids,1745875788,off,0.9837,6e-05,tolerated,512,512,,,,
device_column,centroids,1745875788,on,0.9835699999999999,0.00019,tolerated,512,512,180,1605,1,0
device_column,centroids,1941353856,off,,,crash,512,512,,,,
device_column,centroids,1941353856,on,0.98363,0.00013,tolerated,512,512,180,1391,1,24
device_column,centroids,408263440,off,0.9837,6e-05,tolerated,512,512,,,,
device_column,centroids,408263440,on,0.9836600000000001,0.0001,tolerated,512,512,180,1560,1,0
device_column,centroids,537595439,off,0.9282600000000001,0.0555,silent_wrong,512,512,,,,
device_column,centroids,537595439,on,0.9835900000000001,0.00017,tolerated,512,512,180,1698,1,31
device_column,centroids,3500918772,off,,,crash,512,512,,,,
device_column,centroids,3500918772,on,0.9835800000000001,0.00018,tolerated,512,512,180,1598,1,271
device_column,centroids,1417830178,off,,,crash,512,512,,,,
device_column,centroids,1417830178,on,0.9836,0.00016,tolerated,512,512,180,1482,1,40
device_column,centroids,3193445467,off,0.9333,0.05046,silent_wrong,512,512,,,,
device_column,centroids,3193445467,on,0.9836199999999999,0.00014,tolerated,512,512,181,1289,1,30
device_column,centroids,2437220182,off,,,crash,512,512,,,,
device_column,centroids,2437220182,on,0.98354,0.00022,tolerated,512,512,180,1753,1,271
device_column,centroids,3037424072,off,0.98371,5e-05,tolerated,512,512,,,,
device_column,centroids,3037424072,on,0.98356,0.0002,tolerated,512,512,180,1752,1,0
device_column,centroids,2146923863,off,,,crash,512,512,,,,
device_column,centroids,2146923863,on,0.9835499999999999,0.00021,tolerated,512,512,180,1466,1,30
device_column,centroids,759905599,off,0.98369,7e-05,tolerated,512,512,,,,
device_column,centroids,759905599,on,0.98356,0.0002,tolerated,512,512,181,1344,1,0
device_column,centroids,1031168927,off,0.98375,1e-05,tolerated,512,512,,,,
device_column,centroids,1031168927,on,0.9836600000000001,0.0001,tolerated,512,512,180,1628,1,2
device_column,centroids,74108458,off,,,crash,512,512,,,,
device_column,centroids,74108458,on,0.98356,0.0002,tolerated,512,512,180,1580,1,271
device_column,centroids,2629443453,off,,,crash,512,512,,,,
device_column,centroids,2629443453,on,0.9836499999999999,0.00011,tolerated,512,512,181,1660,1,270
device_column,centroids,3589006081,off,,,crash,512,512,,,,
device_column,centroids,3589006081,on,0.98227,0.00149,tolerated,512,512,180,1463,1,241
device_column,centroids,3844600903,off,0.9836600000000001,0.0001,tolerated,512,512,,,,
device_column,centroids,3844600903,on,0.98356,0.0002,tolerated,512,512,180,1565,1,1
