shape,region,seed,arm,recall,delta_recall,outcome,bits_flipped,coverage_bytes,elements_crc_fail,fallbacks,cliff_repaired,oob_restored
device_column,rotation,2324728654,off,0.8384199999999999,0.14534,silent_wrong,1,1,,,,
device_column,rotation,2324728654,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,872086581,off,0.9447599999999999,0.039,silent_wrong,1,1,,,,
device_column,rotation,872086581,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,2639555416,off,0.83248,0.15128,silent_wrong,1,1,,,,
device_column,rotation,2639555416,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,3401086313,off,0.73045,0.25331,silent_wrong,1,1,,,,
device_column,rotation,3401086313,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,2427268554,off,0.78216,0.2016,silent_wrong,1,1,,,,
device_column,rotation,2427268554,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,1557802305,off,0.78388,0.19988,silent_wrong,1,1,,,,
device_column,rotation,1557802305,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,3546563826,off,0.7768900000000001,0.20687,silent_wrong,1,1,,,,
device_column,rotation,3546563826,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,1596623777,off,0.76328,0.22048,silent_wrong,1,1,,,,
device_column,rotation,1596623777,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,679134428,off,0.85365,0.13011,silent_wrong,1,1,,,,
device_column,rotation,679134428,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,2371357854,off,0.74656,0.2372,silent_wrong,1,1,,,,
device_column,rotation,2371357854,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,674491292,off,0.74695,0.23681,silent_wrong,1,1,,,,
device_column,rotation,674491292,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,1784570403,off,0.65857,0.32519,silent_wrong,1,1,,,,
device_column,rotation,1784570403,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,4211262158,off,0.66589,0.31787,silent_wrong,1,1,,,,
device_column,rotation,4211262158,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,2263585709,off,0.81942,0.16434,silent_wrong,1,1,,,,
device_column,rotation,2263585709,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,3843374726,off,0.8205500000000001,0.16321,silent_wrong,1,1,,,,
device_column,rotation,3843374726,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,2409109722,off,0.81698,0.16678,silent_wrong,1,1,,,,
device_column,rotation,2409109722,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,3561974345,off,0.79585,0.18791,silent_wrong,1,1,,,,
device_column,rotation,3561974345,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,1515764244,off,0.73627,0.24749,silent_wrong,1,1,,,,
device_column,rotation,1515764244,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,2018921743,off,0.76624,0.21752,silent_wrong,1,1,,,,
device_column,rotation,2018921743,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,2649127784,off,0.7700899999999999,0.21367,silent_wrong,1,1,,,,
device_column,rotation,2649127784,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,2452665524,off,0.80798,0.17578,silent_wrong,1,1,,,,
device_column,rotation,2452665524,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,513528602,off,0.8834500000000001,0.10031,silent_wrong,1,1,,,,
device_column,rotation,513528602,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,4063013277,off,0.86973,0.11403,silent_wrong,1,1,,,,
device_column,rotation,4063013277,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,498187621,off,0.8235300000000001,0.16023,silent_wrong,1,1,,,,
device_column,rotation,498187621,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,1871735255,off,0.78842,0.19534,silent_wrong,1,1,,,,
device_column,rotation,1871735255,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,2876730850,off,0.80067,0.18309,silent_wrong,1,1,,,,
device_column,rotation,2876730850,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,1416305067,off,0.8232100000000001,0.16055,silent_wrong,1,1,,,,
device_column,rotation,1416305067,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,1780006546,off,0.91052,0.07324,silent_wrong,1,1,,,,
device_column,rotation,1780006546,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,1474044146,off,0.71046,0.2733,silent_wrong,1,1,,,,
device_column,rotation,1474044146,on,0.98376,0.0,repaired,1,1,0,0,1,0
device_column,rotation,399427495,off,0.8513400000000001,0.13242,silent_wrong,1,1,,,,
device_column,rotation,399427495,on,0.98376,0.0,repaired,1,1,0,0,1,0
