shape,region,seed,arm,recall,delta_recall,outcome,bits_flipped,coverage_bytes,elements_crc_fail,fallbacks,cliff_repaired,oob_restored
device_row,centroids,1341766389,off,,,crash,32759,8158,,,,
device_row,centroids,1341766389,on,,,crash,32759,8158,,,32134,0
device_row,centroids,3734156219,off,,,crash,32745,8161,,,,
device_row,centroids,3734156219,on,,,crash,32745,8161,,,32116,0
device_row,centroids,477000173,off,,,crash,32881,8157,,,,
device_row,centroids,477000173,on,,,crash,32881,8157,,,32272,0
device_row,centroids,1281628790,off,,,crash,32711,8167,,,,
device_row,centroids,1281628790,on,,,crash,32711,8167,,,32097,0
device_row,centroids,4001065816,off,,,crash,32850,8158,,,,
device_row,centroids,4001065816,on,,,crash,32850,8158,,,32201,0
device_row,centroids,2815394373,off,,,crash,32955,8168,,,,
device_row,centroids,2815394373,on,,,crash,32955,8168,,,32330,0
device_row,centroids,2914572023,off,,,crash,32743,8151,,,,
device_row,centroids,2914572023,on,,,crash,32743,8151,,,32110,0
device_row,centroids,3562543820,off,,,crash,32864,8161,,,,
device_row,centroids,3562543820,on,,,crash,32864,8161,,,32235,0
device_row,centroids,2627995440,off,,,crash,32872,8161,,,,
device_row,centroids,2627995440,on,,,crash,32872,8161,,,32223,0
device_row,centroids,1221134194,off,,,crash,32685,8150,,,,
device_row,centroids,1221134194,on,,,crash,32685,8150,,,32068,0
device_row,centroids,4138017955,off,,,crash,32635,8165,,,,
device_row,centroids,4138017955,on,,,crash,32635,8165,,,32012,0
device_row,centroids,2459187352,off,,,crash,32725,8160,,,,
device_row,centroids,2459187352,on,,,crash,32725,8160,,,32092,0
device_row,centroids,3065708710,off,,,crash,32626,8170,,,,
device_row,centroids,3065708710,on,,,crash,32626,8170,,,32040,0
device_row,centroids,1254790445,off,,,crash,32777,8165,,,,
device_row,centroids,1254790445,on,,,crash,32777,8165,,,32192,0
device_row,centroids,230706951,off,,,crash,32924,8174,,,,
device_row,centroids,230706951,on,,,crash,32924,8174,,,32301,0
device_row,centroids,2546403472,off,,,crash,32951,8162,,,,
device_row,centroids,2546403472,on,,,crash,32951,8162,,,32331,0
device_row,centroids,2517762442,off,,,crash,32885,8162,,,,
device_row,centroids,2517762442,on,,,crash,32885,8162,,,32264,0
device_row,centroids,532395937,off,,,crash,32546,8161,,,,
device_row,centroids,532395937,on,,,crash,32546,8161,,,31920,0
device_row,centroids,56120121,off,,,crash,32767,8160,,,,
device_row,centroids,56120121,on,,,crash,32767,8160,,,32119,0
device_row,centroids,219022361,off,,,crash,32697,8161,,,,
device_row,centroids,219022361,on,,,crash,32697,8161,,,32041,0
device_row,centroids,2314190270,off,,,crash,32575,8154,,,,
device_row,centroids,2314190270,on,,,crash,32575,8154,,,31934,0
device_row,centroids,3216684620,off,,,crash,32903,8163,,,,
device_row,centroids,3216684620,on,,,crash,32903,8163,,,32270,0
device_row,centroids,2576670167,off,,,crash,32742,8159,,,,
device_row,centroids,2576670167,on,,,crash,32742,8159,,,32125,0
device_row,centroids,3430842560,off,,,crash,32995,8167,,,,
device_row,centroids,3430842560,on,,,crash,32995,8167,,,32339,0
device_row,centroids,886789986,off,,,crash,32738,8165,,,,
device_row,centroids,886789986,on,,,crash,32738,8165,,,32121,0
device_row,centroids,3361993807,off,,,crash,32901,8154,,,,
device_row,centroids,3361993807,on,,,crash,32901,8154,,,32283,0
device_row,centroids,1499601272,off,,,crash,33002,8173,,,,
device_row,centroids,1499601272,on,0.94625,0.03751,detected_wrong,33002,8173,29,5660,655,90
device_row,centroids,71262468,off,,,crash,32487,8164,,,,
device_row,centroids,71262468,on,,,crash,32487,8164,,,31880,0
device_row,centroids,1530935312,off,,,crash,32636,8161,,,,
device_row,centroids,1530935312,on,,,crash,32636,8161,,,32028,0
device_row,centroids,2141217059,off,,,crash,32683,8162,,,,
device_row,centroids,2141217059,on,,,crash,32683,8162,,,32038,0
