shape,region,seed,arm,recall,delta_recall,outcome,bits_flipped,coverage_bytes,elements_crc_fail,fallbacks,cliff_repaired,oob_restored
device_row,centroids,1341766389,off,,,crash,32759,8158,,,,
device_row,centroids,1341766389,on,0.98376,0.0,repaired,32759,8158,0,0,32759,0
device_row,centroids,3734156219,off,,,crash,32745,8161,,,,
device_row,centroids,3734156219,on,0.98376,0.0,repaired,32745,8161,0,0,32745,0
device_row,centroids,477000173,off,,,crash,32881,8157,,,,
device_row,centroids,477000173,on,0.98376,0.0,repaired,32881,8157,0,0,32881,0
device_row,centroids,1281628790,off,,,crash,32711,8167,,,,
device_row,centroids,1281628790,on,0.98376,0.0,repaired,32711,8167,0,0,32711,0
device_row,centroids,4001065816,off,,,crash,32850,8158,,,,
device_row,centroids,4001065816,on,0.98376,0.0,repaired,32850,8158,0,0,32850,0
device_row,centroids,2815394373,off,,,crash,32955,8168,,,,
device_row,centroids,2815394373,on,0.98376,0.0,repaired,32955,8168,0,0,32955,0
device_row,centroids,2914572023,off,,,crash,32743,8151,,,,
device_row,centroids,2914572023,on,0.98376,0.0,repaired,32743,8151,0,0,32743,0
device_row,centroids,3562543820,off,,,crash,32864,8161,,,,
device_row,centroids,3562543820,on,0.98376,0.0,repaired,32864,8161,0,0,32864,0
device_row,centroids,2627995440,off,,,crash,32872,8161,,,,
device_row,centroids,2627995440,on,0.98376,0.0,repaired,32872,8161,0,0,32872,0
device_row,centroids,1221134194,off,,,crash,32685,8150,,,,
device_row,centroids,1221134194,on,0.98376,0.0,repaired,32685,8150,0,0,32685,0
device_row,centroids,4138017955,off,,,crash,32635,8165,,,,
device_row,centroids,4138017955,on,0.98376,0.0,repaired,32635,8165,0,0,32635,0
device_row,centroids,2459187352,off,,,crash,32725,8160,,,,
device_row,centroids,2459187352,on,0.98376,0.0,repaired,32725,8160,0,0,32725,0
device_row,centroids,3065708710,off,,,crash,32626,8170,,,,
device_row,centroids,3065708710,on,0.98376,0.0,repaired,32626,8170,0,0,32626,0
device_row,centroids,1254790445,off,,,crash,32777,8165,,,,
device_row,centroids,1254790445,on,0.98376,0.0,repaired,32777,8165,0,0,32777,0
device_row,centroids,230706951,off,,,crash,32924,8174,,,,
device_row,centroids,230706951,on,0.98376,0.0,repaired,32924,8174,0,0,32924,0
device_row,centroids,2546403472,off,,,crash,32951,8162,,,,
device_row,centroids,2546403472,on,0.98376,0.0,repaired,32951,8162,0,0,32951,0
device_row,centroids,2517762442,off,,,crash,32885,8162,,,,
device_row,centroids,2517762442,on,0.98376,0.0,repaired,32885,8162,0,0,32885,0
device_row,centroids,532395937,off,,,crash,32546,8161,,,,
device_row,centroids,532395937,on,0.98376,0.0,repaired,32546,8161,0,0,32546,0
device_row,centroids,56120121,off,,,crash,32767,8160,,,,
device_row,centroids,56120121,on,0.98376,0.0,repaired,32767,8160,0,0,32767,0
device_row,centroids,219022361,off,,,crash,32697,8161,,,,
device_row,centroids,219022361,on,0.98376,0.0,repaired,32697,8161,0,0,32697,0
device_row,centroids,2314190270,off,,,crash,32575,8154,,,,
device_row,centroids,2314190270,on,0.98376,0.0,repaired,32575,8154,0,0,32575,0
device_row,centroids,3216684620,off,,,crash,32903,8163,,,,
device_row,centroids,3216684620,on,0.98376,0.0,repaired,32903,8163,0,0,32903,0
device_row,centroids,2576670167,off,,,crash,32742,8159,,,,
device_row,centroids,2576670167,on,0.98376,0.0,repaired,32742,8159,0,0,32742,0
device_row,centroids,3430842560,off,,,crash,32995,8167,,,,
device_row,centroids,3430842560,on,0.98376,0.0,repaired,32995,8167,0,0,32995,0
device_row,centroids,886789986,off,,,crash,32738,8165,,,,
device_row,centroids,886789986,on,0.98376,0.0,repaired,32738,8165,0,0,32738,0
device_row,centroids,3361993807,off,,,crash,32901,8154,,,,
device_row,centroids,3361993807,on,0.98376,0.0,repaired,32901,8154,0,0,32901,0
device_row,centroids,1499601272,off,,,crash,33002,8173,,,,
device_row,centroids,1499601272,on,0.94625,0.03751,detected_wrong,33002,8173,29,5660,655,90
device_row,centroids,71262468,off,,,crash,32487,8164,,,,
device_row,centroids,71262468,on,0.98376,0.0,repaired,32487,8164,0,0,32487,0
device_row,centroids,1530935312,off,,,crash,32636,8161,,,,
device_row,centroids,1530935312,on,0.98376,0.0,repaired,32636,8161,0,0,32636,0
device_row,centroids,2141217059,off,,,crash,32683,8162,,,,
device_row,centroids,2141217059,on,0.98376,0.0,repaired,32683,8162,0,0,32683,0
