shape,region,seed,arm,recall,delta_recall,outcome,bits_flipped,coverage_bytes,elements_crc_fail,fallbacks,cliff_repaired,oob_restored
device_row,rotation,3979759670,off,0.0,0.98376,silent_wrong,22720,5633,,,,
device_row,rotation,3979759670,on,0.0,0.98376,detected_wrong,22720,5633,0,0,256,0
device_row,rotation,3987041901,off,2e-05,0.98374,silent_wrong,22539,5632,,,,
device_row,rotation,3987041901,on,1e-05,0.98375,detected_wrong,22539,5632,0,0,254,0
device_row,rotation,3090801932,off,1e-05,0.98375,silent_wrong,22538,5620,,,,
device_row,rotation,3090801932,on,0.0,0.98376,detected_wrong,22538,5620,0,0,245,0
device_row,rotation,2700885938,off,0.0,0.98376,silent_wrong,22776,5626,,,,
device_row,rotation,2700885938,on,5e-05,0.98371,detected_wrong,22776,5626,0,0,255,0
device_row,rotation,542285786,off,1e-05,0.98375,silent_wrong,22309,5626,,,,
device_row,rotation,542285786,on,1e-05,0.98375,detected_wrong,22309,5626,0,0,268,0
device_row,rotation,3316612185,off,1e-05,0.98375,silent_wrong,22683,5627,,,,
device_row,rotation,3316612185,on,0.0,0.98376,detected_wrong,22683,5627,0,0,264,0
device_row,rotation,2244079539,off,1e-05,0.98375,silent_wrong,22567,5623,,,,
device_row,rotation,2244079539,on,2e-05,0.98374,detected_wrong,22567,5623,0,0,273,0
device_row,rotation,1348485266,off,2e-05,0.98374,silent_wrong,22595,5623,,,,
device_row,rotation,1348485266,on,0.0,0.98376,detected_wrong,22595,5623,0,0,235,0
device_row,rotation,1441350732,off,0.0,0.98376,silent_wrong,22553,5630,,,,
device_row,rotation,1441350732,on,0.0,0.98376,detected_wrong,22553,5630,0,0,239,0
device_row,rotation,1151480309,off,0.0,0.98376,silent_wrong,22539,5624,,,,
device_row,rotation,1151480309,on,2.9999999999999997e-05,0.98373,detected_wrong,22539,5624,0,0,255,0
device_row,rotation,1874047819,off,0.0,0.98376,silent_wrong,22612,5625,,,,
device_row,rotation,1874047819,on,0.0,0.98376,detected_wrong,22612,5625,0,0,264,0
device_row,rotation,1995207279,off,0.0,0.98376,silent_wrong,22516,5631,,,,
device_row,rotation,1995207279,on,0.0,0.98376,detected_wrong,22516,5631,0,0,252,0
device_row,rotation,2616345639,off,1e-05,0.98375,silent_wrong,22776,5631,,,,
device_row,rotation,2616345639,on,1e-05,0.98375,detected_wrong,22776,5631,0,0,249,0
device_row,rotation,2620507645,off,1e-05,0.98375,silent_wrong,22735,5623,,,,
device_row,rotation,2620507645,on,1e-05,0.98375,detected_wrong,22735,5623,0,0,237,0
device_row,rotation,3046672395,off,0.0,0.98376,silent_wrong,22576,5634,,,,
device_row,rotation,3046672395,on,1e-05,0.98375,detected_wrong,22576,5634,0,0,250,0
device_row,rotation,1987360385,off,1e-05,0.98375,silent_wrong,22575,5626,,,,
device_row,rotation,1987360385,on,0.0,0.98376,detected_wrong,22575,5626,0,0,243,0
device_row,rotation,3128003806,off,1e-05,0.98375,silent_wrong,22633,5630,,,,
device_row,rotation,3128003806,on,0.0,0.98376,detected_wrong,22633,5630,0,0,239,0
device_row,rotation,1799946142,off,0.0,0.98376,silent_wrong,22609,5627,,,,
device_row,rotation,1799946142,on,1e-05,0.98375,detected_wrong,22609,5627,0,0,260,0
device_row,rotation,3909321157,off,4e-05,0.98372,silent_wrong,22576,5629,,,,
device_row,rotation,3909321157,on,0.0,0.98376,detected_wrong,22576,5629,0,0,252,0
device_row,rotation,786724504,off,0.0,0.98376,silent_wrong,22642,5627,,,,
device_row,rotation,786724504,on,2e-05,0.98374,detected_wrong,22642,5627,0,0,271,0
device_row,rotation,1521506687,off,0.0,0.98376,silent_wrong,22528,5628,,,,
device_row,rotation,1521506687,on,0.0,0.98376,detected_wrong,22528,5628,0,0,263,0
device_row,rotation,715177505,off,0.0,0.98376,silent_wrong,22669,5629,,,,
device_row,rotation,715177505,on,0.0,0.98376,detected_wrong,22669,5629,0,0,257,0
device_row,rotation,2489813424,off,1e-05,0.98375,silent_wrong,22568,5625,,,,
device_row,rotation,2489813424,on,0.0,0.98376,detected_wrong,22568,5625,0,0,257,0
device_row,rotation,3122077681,off,2.9999999999999997e-05,0.98373,silent_wrong,22684,5630,,,,
device_row,rotation,3122077681,on,1e-05,0.98375,detected_wrong,22684,5630,0,0,262,0
device_row,rotation,3423493541,off,0.0,0.98376,silent_wrong,22597,5621,,,,
device_row,rotation,3423493541,on,0.0,0.98376,detected_wrong,22597,5621,0,0,228,0
device_row,rotation,3963138072,off,0.0,0.98376,silent_wrong,22372,5634,,,,
device_row,rotation,3963138072,on,5e-05,0.98371,detected_wrong,22372,5634,0,0,248,0
device_row,rotation,1564483126,off,0.0,0.98376,silent_wrong,22690,5626,,,,
device_row,rotation,1564483126,on,0.0,0.98376,detected_wrong,22690,5626,0,0,241,0
device_row,rotation,986047426,off,0.0,0.98376,silent_wrong,22495,5628,,,,
device_row,rotation,986047426,on,2e-05,0.98374,detected_wrong,22495,5628,0,0,243,0
device_row,rotation,2394057210,off,0.0,0.98376,silent_wrong,22371,5622,,,,
device_row,rotation,2394057210,on,0.0,0.98376,detected_wrong,22371,5622,0,0,258,0
device_row,rotation,3118415363,off,1e-05,0.98375,silent_wrong,22565,5631,,,,
device_row,rotation,3118415363,on,1e-05,0.98375,detected_wrong,22565,5631,0,0,274,0
