shape,region,seed,arm,recall,delta_recall,outcome,bits_flipped,coverage_bytes,elements_crc_fail,fallbacks,cliff_repaired,oob_restored
single_cell,centroids,2003976316,off,0.98376,0.0,tolerated,1,1,,,,
single_cell,centroids,2003976316,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,3438027010,off,0.98376,0.0,tolerated,1,1,,,,
single_cell,centroids,3438027010,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,4198020743,off,0.9835800000000001,0.00018,tolerated,1,1,,,,
single_cell,centroids,4198020743,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,2415799381,off,0.9275399999999999,0.05622,silent_wrong,1,1,,,,
single_cell,centroids,2415799381,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,555479138,off,0.98376,0.0,tolerated,1,1,,,,
single_cell,centroids,555479138,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,3134152474,off,0.97754,0.00622,tolerated,1,1,,,,
single_cell,centroids,3134152474,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,2249933167,off,0.8983599999999999,0.0854,silent_wrong,1,1,,,,
single_cell,centroids,2249933167,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,956418627,off,0.9822900000000001,0.00147,tolerated,1,1,,,,
single_cell,centroids,956418627,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,1559303682,off,0.8674,0.11636,silent_wrong,1,1,,,,
single_cell,centroids,1559303682,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,1664987302,off,0.98376,0.0,tolerated,1,1,,,,
single_cell,centroids,1664987302,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,537537323,off,0.98376,0.0,tolerated,1,1,,,,
single_cell,centroids,537537323,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,4039402414,off,0.92203,0.06173,silent_wrong,1,1,,,,
single_cell,centroids,4039402414,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,1687555909,off,0.98375,1e-05,tolerated,1,1,,,,
single_cell,centroids,1687555909,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,3651612582,off,0.98376,0.0,tolerated,1,1,,,,
single_cell,centroids,3651612582,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,2191620496,off,0.98376,0.0,tolerated,1,1,,,,
single_cell,centroids,2191620496,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,4018793038,off,0.9836199999999999,0.00014,tolerated,1,1,,,,
single_cell,centroids,4018793038,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,3817787890,off,0.98262,0.00114,tolerated,1,1,,,,
single_cell,centroids,3817787890,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,3922569945,off,0.98376,0.0,tolerated,1,1,,,,
single_cell,centroids,3922569945,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,2579626173,off,0.94733,0.03643,silent_wrong,1,1,,,,
single_cell,centroids,2579626173,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,3166622257,off,0.98376,0.0,tolerated,1,1,,,,
single_cell,centroids,3166622257,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,2060516972,off,0.98376,0.0,tolerated,1,1,,,,
single_cell,centroids,2060516972,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,1977785679,off,0.98376,0.0,tolerated,1,1,,,,
single_cell,centroids,1977785679,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,2437300465,off,0.9831300000000001,0.00063,tolerated,1,1,,,,
single_cell,centroids,2437300465,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,3590614533,off,0.92813,0.05563,silent_wrong,1,1,,,,
single_cell,centroids,3590614533,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,1670495008,off,0.98376,0.0,tolerated,1,1,,,,
single_cell,centroids,1670495008,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,2044260685,off,0.98346,0.0003,tolerated,1,1,,,,
single_cell,centroids,2044260685,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,2896138698,off,0.98376,0.0,tolerated,1,1,,,,
single_cell,centroids,2896138698,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,1880038822,off,0.98296,0.0008,tolerated,1,1,,,,
single_cell,centroids,1880038822,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,2698683872,off,0.91899,0.06477,silent_wrong,1,1,,,,
single_cell,centroids,2698683872,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,centroids,2642440862,off,0.98376,0.0,tolerated,1,1,,,,
single_cell,centroids,2642440862,on,0.98376,0.0,repaired,1,1,0,0,1,0
