shape,region,seed,arm,recall,delta_recall,outcome,bits_flipped,coverage_bytes,elements_crc_fail,fallbacks,cliff_repaired,oob_restored
single_cell,rotation,243597953,off,0.72737,0.25639,silent_wrong,1,1,,,,
single_cell,rotation,243597953,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,1629746437,off,0.7676700000000001,0.21609,silent_wrong,1,1,,,,
single_cell,rotation,1629746437,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,1057765734,off,0.89374,0.09002,silent_wrong,1,1,,,,
single_cell,rotation,1057765734,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,3100765952,off,0.76955,0.21421,silent_wrong,1,1,,,,
single_cell,rotation,3100765952,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,2578371433,off,0.79653,0.18723,silent_wrong,1,1,,,,
single_cell,rotation,2578371433,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,2809671122,off,0.81942,0.16434,silent_wrong,1,1,,,,
single_cell,rotation,2809671122,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,227193637,off,0.73129,0.25247,silent_wrong,1,1,,,,
single_cell,rotation,227193637,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,3463980857,off,0.7768900000000001,0.20687,silent_wrong,1,1,,,,
single_cell,rotation,3463980857,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,1458128904,off,0.75361,0.23015,silent_wrong,1,1,,,,
single_cell,rotation,1458128904,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,3802236009,off,0.81214,0.17162,silent_wrong,1,1,,,,
single_cell,rotation,3802236009,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,2842554301,off,0.73006,0.2537,silent_wrong,1,1,,,,
single_cell,rotation,2842554301,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,3701525749,off,0.72898,0.25478,silent_wrong,1,1,,,,
single_cell,rotation,3701525749,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,3641400299,off,0.75798,0.22578,silent_wrong,1,1,,,,
single_cell,rotation,3641400299,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,2581684981,off,0.60929,0.37447,silent_wrong,1,1,,,,
single_cell,rotation,2581684981,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,3080172415,off,0.73006,0.2537,silent_wrong,1,1,,,,
single_cell,rotation,3080172415,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,1443786947,off,0.77519,0.20857,silent_wrong,1,1,,,,
single_cell,rotation,1443786947,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,2562764185,off,0.85677,0.12699,silent_wrong,1,1,,,,
single_cell,rotation,2562764185,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,1270021112,off,0.7311799999999999,0.25258,silent_wrong,1,1,,,,
single_cell,rotation,1270021112,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,1222304233,off,0.82257,0.16119,silent_wrong,1,1,,,,
single_cell,rotation,1222304233,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,872318122,off,0.72981,0.25395,silent_wrong,1,1,,,,
single_cell,rotation,872318122,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,2093476303,off,0.66589,0.31787,silent_wrong,1,1,,,,
single_cell,rotation,2093476303,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,1812378232,off,0.76041,0.22335,silent_wrong,1,1,,,,
single_cell,rotation,1812378232,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,130858136,off,0.6419400000000001,0.34182,silent_wrong,1,1,,,,
single_cell,rotation,130858136,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,3384809065,off,0.8343400000000001,0.14942,silent_wrong,1,1,,,,
single_cell,rotation,3384809065,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,4293436293,off,0.8141400000000001,0.16962,silent_wrong,1,1,,,,
single_cell,rotation,4293436293,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,2598927398,off,0.8601300000000001,0.12363,silent_wrong,1,1,,,,
single_cell,rotation,2598927398,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,397611905,off,0.75361,0.23015,silent_wrong,1,1,,,,
single_cell,rotation,397611905,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,1683269914,off,0.66449,0.31927,silent_wrong,1,1,,,,
single_cell,rotation,1683269914,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,2083706741,off,0.7790199999999999,0.20474,silent_wrong,1,1,,,,
single_cell,rotation,2083706741,on,0.98376,0.0,repaired,1,1,0,0,1,0
single_cell,rotation,1189369678,off,0.76262,0.22114,silent_wrong,1,1,,,,
single_cell,rotation,1189369678,on,0.98376,0.0,repaired,1,1,0,0,1,0
