shape,region,seed,arm,recall,delta_recall,outcome,bits_flipped,coverage_bytes,elements_crc_fail,fallbacks,cliff_repaired,oob_restored
miscorrection_word,rotation,3128729046,off,0.48192,0.46843,silent_wrong,3,3,,,,
miscorrection_word,rotation,3128729046,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,3790192054,off,0.60099,0.34936,silent_wrong,3,3,,,,
miscorrection_word,rotation,3790192054,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,1427892755,off,0.59559,0.35476,silent_wrong,3,3,,,,
miscorrection_word,rotation,1427892755,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,3407911383,off,0.6277,0.32265,silent_wrong,3,3,,,,
miscorrection_word,rotation,3407911383,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,2350637919,off,0.66856,0.28179,silent_wrong,3,3,,,,
miscorrection_word,rotation,2350637919,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,1085340745,off,0.71348,0.23687,silent_wrong,3,3,,,,
miscorrection_word,rotation,1085340745,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,1499073444,off,0.62257,0.32778,silent_wrong,3,3,,,,
miscorrection_word,rotation,1499073444,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,2451218847,off,0.6249100000000001,0.32544,silent_wrong,3,3,,,,
miscorrection_word,rotation,2451218847,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,3587059528,off,0.6147199999999999,0.33563,silent_wrong,3,3,,,,
miscorrection_word,rotation,3587059528,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,3890295322,off,0.59342,0.35693,silent_wrong,3,3,,,,
miscorrection_word,rotation,3890295322,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,17811497,off,0.66589,0.28446,silent_wrong,3,3,,,,
miscorrection_word,rotation,17811497,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,1411945503,off,0.64881,0.30154,silent_wrong,3,3,,,,
miscorrection_word,rotation,1411945503,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,3964425197,off,0.5126299999999999,0.43772,silent_wrong,3,3,,,,
miscorrection_word,rotation,3964425197,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,2835432810,off,0.60954,0.34081,silent_wrong,3,3,,,,
miscorrection_word,rotation,2835432810,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,1104149938,off,0.51031,0.44004,silent_wrong,3,3,,,,
miscorrection_word,rotation,1104149938,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,2409343473,off,0.56002,0.39033,silent_wrong,3,3,,,,
miscorrection_word,rotation,2409343473,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,1697094725,off,0.67433,0.27602,silent_wrong,3,3,,,,
miscorrection_word,rotation,1697094725,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,3545419851,off,0.60863,0.34172,silent_wrong,3,2,,,,
miscorrection_word,rotation,3545419851,on,0.95035,0.0,repaired,3,2,0,0,3,0
miscorrection_word,rotation,497654777,off,0.43733000000000005,0.51302,silent_wrong,3,2,,,,
miscorrection_word,rotation,497654777,on,0.95035,0.0,repaired,3,2,0,0,3,0
miscorrection_word,rotation,2633354908,off,0.66686,0.28349,silent_wrong,3,3,,,,
miscorrection_word,rotation,2633354908,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,2480807135,off,0.66039,0.28996,silent_wrong,3,3,,,,
miscorrection_word,rotation,2480807135,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,2524211426,off,0.6690699999999999,0.28128,silent_wrong,3,3,,,,
miscorrection_word,rotation,2524211426,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,2935334796,off,0.65825,0.2921,silent_wrong,3,3,,,,
miscorrection_word,rotation,2935334796,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,2435043194,off,0.49702999999999997,0.45332,silent_wrong,3,2,,,,
miscorrection_word,rotation,2435043194,on,0.95035,0.0,repaired,3,2,0,0,3,0
miscorrection_word,rotation,1942186148,off,0.42901,0.52134,silent_wrong,3,3,,,,
miscorrection_word,rotation,1942186148,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,1809005347,off,0.54238,0.40797,silent_wrong,3,3,,,,
miscorrection_word,rotation,1809005347,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,358112361,off,0.50995,0.4404,silent_wrong,3,3,,,,
miscorrection_word,rotation,358112361,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,3181913453,off,0.56663,0.38372,silent_wrong,3,3,,,,
miscorrection_word,rotation,3181913453,on,0.95035,0.0,repaired,3,3,0,0,3,0
miscorrection_word,rotation,4277623500,off,0.6391,0.31125,silent_wrong,3,3,,,,
miscorrection_word,rotation,4277623500,on,0.95035,0.0,repaired,3,3,0,0,3,0
