tick,unprotected,per_query_repair,fuse,self_scrub
0,0.42309,0.98376,0.98376,0.98376
1,0.33837,0.98376,0.98376,0.98376
2,0.19519999999999998,0.98376,0.98376,0.98376
3,0.157,0.98376,0.98376,0.98376
4,0.10044,0.98376,0.98376,0.98376
5,0.0811,0.98376,0.98376,0.98376
6,0.06301,0.98376,0.98376,0.98376
7,0.05143,0.98376,0.98376,0.98376
8,0.04931,0.98376,0.98376,0.98376
9,0.04546,0.98376,0.98376,0.98376
10,0.04546,0.98376,0.98376,0.98376
11,0.04111,0.98376,0.98376,0.98376
12,0.03059,0.98376,0.98376,0.98376
13,0.02848,0.98376,0.98376,0.98376
14,0.01975,0.98376,0.98376,0.98376
15,0.0179,0.98376,0.98376,0.98376
16,0.01641,0.98376,0.98376,0.98376
17,0.01329,0.98376,0.98376,0.98376
18,0.01255,0.98376,0.98376,0.98376
19,0.0103,0.98376,0.98376,0.98376
20,0.0103,0.98376,0.98376,0.98376
21,0.00898,0.98376,0.8367800000000001,0.98376
22,0.008400000000000001,0.98376,0.55397,0.98376
23,0.007149999999999999,0.98376,0.51361,0.98376
24,0.006410000000000001,0.98376,0.42679,0.98376
25,0.00575,0.98376,0.42679,0.98376
26,0.00446,0.98376,0.42679,0.98376
27,0.0031,0.98376,0.38580000000000003,0.98376
28,0.00296,0.98376,0.30555,0.98376
29,0.00208,0.98376,0.27555999999999997,0.98376
30,0.00199,0.98376,0.21537,0.98376
31,0.00163,0.98376,0.17051,0.98376
32,0.00121,0.98376,0.15707,0.98376
33,0.00121,0.98376,0.13264,0.98376
34,0.00095,0.98376,0.10911,0.98376
35,0.0008500000000000001,0.98376,0.09576,0.98376
36,0.00056,0.98376,0.07103000000000001,0.98376
37,0.0005499999999999999,0.98376,0.06946,0.98376
38,0.00033,0.98376,0.04933,0.98376
39,0.00033999999999999997,0.98376,0.04845,0.98376
40,0.00031,0.98376,0.04421,0.98376
41,0.00031,0.98376,0.03996,0.98376
42,0.00031,0.98376,0.034089999999999995,0.98376
43,0.00026,0.98376,0.0293,0.98376
44,0.00017999999999999998,0.98376,0.0293,0.98376
45,0.00017999999999999998,0.98376,0.02333,0.98376
46,0.00013,0.98376,0.02247,0.98376
47,0.00013,0.98376,0.02366,0.98376
48,0.00011999999999999999,0.98376,0.02046,0.98376
49,0.00017999999999999998,0.98376,0.013800000000000002,0.98376
50,0.00016,0.98376,0.01151,0.98376
51,0.00016,0.98376,0.01151,0.98376
52,0.00016999999999999999,0.98376,0.01037,0.98376
53,0.00016999999999999999,0.98376,0.008740000000000001,0.98376
54,0.00016999999999999999,0.98376,0.008740000000000001,0.98376
55,8e-05,0.98376,0.00689,0.98376
56,7e-05,0.98376,0.00467,0.98376
57,7e-05,0.98376,0.004059999999999999,0.98376
58,5e-05,0.98376,0.0025,0.98376
59,5e-05,0.98376,0.0024000000000000002,0.98376
60,0.00011999999999999999,0.98376,0.00172,0.98376
61,0.0001,0.98376,0.0017399999999999998,0.98376
62,5e-05,0.98376,0.00139,0.98376
63,2.9999999999999997e-05,0.98376,0.00089,0.98376
64,2.9999999999999997e-05,0.98376,0.0005499999999999999,0.98376
65,2.9999999999999997e-05,0.98376,0.00049,0.98376
66,2.9999999999999997e-05,0.98376,0.00045,0.98376
67,2.9999999999999997e-05,0.98376,0.00028,0.98376
68,1e-05,0.98376,0.00023999999999999998,0.98376
69,2.9999999999999997e-05,0.98376,0.00025,0.98376
70,2e-05,0.98376,0.00023,0.98376
71,1e-05,0.98376,0.00027,0.98376
72,1e-05,0.98376,0.00019,0.98376
73,2.9999999999999997e-05,0.98376,0.0002,0.98376
74,8e-05,0.98376,0.00016999999999999999,0.98376
75,5.9999999999999995e-05,0.98376,0.00015000000000000001,0.98376
76,5e-05,0.98376,0.00011999999999999999,0.98376
77,2.9999999999999997e-05,0.98376,0.00015000000000000001,0.98376
78,5.9999999999999995e-05,0.98376,0.00011999999999999999,0.98376
79,7e-05,0.98376,0.00011999999999999999,0.98376
80,4e-05,0.98376,8.999999999999999e-05,0.98376
81,2.9999999999999997e-05,0.98376,8.999999999999999e-05,0.98376
82,5.9999999999999995e-05,0.98376,2.9999999999999997e-05,0.98376
83,7e-05,0.98376,2.9999999999999997e-05,0.98376
84,7e-05,0.98376,4e-05,0.98376
85,7e-05,0.98376,5.9999999999999995e-05,0.98376
86,2e-05,0.98376,4e-05,0.98376
87,2.9999999999999997e-05,0.98376,2.9999999999999997e-05,0.98376
88,2.9999999999999997e-05,0.98376,4e-05,0.98376
89,2.9999999999999997e-05,0.98376,5.9999999999999995e-05,0.98376
90,2e-05,0.98376,7e-05,0.98376
91,1e-05,0.98376,4e-05,0.98376
92,0.0,0.98376,4e-05,0.98376
93,0.0,0.98376,2.9999999999999997e-05,0.98376
94,1e-05,0.98376,4e-05,0.98376
95,2e-05,0.98376,8e-05,0.98376
96,2e-05,0.98376,5.9999999999999995e-05,0.98376
97,2e-05,0.98376,4e-05,0.98376
98,1e-05,0.98376,2.9999999999999997e-05,0.98376
99,2e-05,0.98376,2.9999999999999997e-05,0.98376
100,,,4e-05,0.98376
101,,,4e-05,0.98376
102,,,1e-05,0.98376
103,,,1e-05,0.98376
104,,,0.0,0.98376
105,,,2e-05,0.98376
106,,,4e-05,0.98376
107,,,0.0,0.98376
108,,,0.0,0.98376
109,,,1e-05,0.98376
110,,,2e-05,0.98376
111,,,0.0,0.98376
112,,,0.0,0.98376
113,,,0.0,0.98376
114,,,0.0,0.98376
115,,,1e-05,0.98376
116,,,0.0,0.98376
117,,,0.0,0.98376
118,,,0.0,0.98376
119,,,0.0,0.98376
120,,,0.0,0.98376
121,,,0.0,0.98376
122,,,0.0,0.98376
123,,,0.0,0.98376
124,,,0.0,0.98376
125,,,0.0,0.98376
126,,,0.0,0.98376
127,,,0.0,0.98376
128,,,0.0,0.98376
129,,,1e-05,0.98376
130,,,0.0,0.98376
131,,,0.0,0.98376
132,,,0.0,0.98376
133,,,0.0,0.98376
134,,,0.0,0.98376
135,,,0.0,0.98376
136,,,0.0,0.98376
137,,,0.0,0.98376
138,,,0.0,0.98376
139,,,0.0,0.98376
140,,,0.0,0.98376
141,,,0.0,0.98376
142,,,0.0,0.98376
143,,,0.0,0.98376
144,,,0.0,0.98376
145,,,0.0,0.98376
146,,,0.0,0.98376
147,,,0.0,0.98376
148,,,0.0,0.98376
149,,,0.0,0.98376
150,,,0.0,0.98376
151,,,0.0,0.98376
152,,,1e-05,0.98376
153,,,1e-05,0.98376
154,,,2e-05,0.98376
155,,,2e-05,0.98376
156,,,2.9999999999999997e-05,0.98376
157,,,4e-05,0.98376
158,,,1e-05,0.98376
159,,,0.0,0.98376
160,,,0.0,0.98376
161,,,0.0,0.98376
162,,,0.0,0.98376
163,,,2.9999999999999997e-05,0.98376
164,,,0.0,0.98376
165,,,1e-05,0.98376
166,,,1e-05,0.98376
167,,,1e-05,0.98376
168,,,0.0,0.98376
169,,,2e-05,0.98376
170,,,1e-05,0.98376
171,,,0.0,0.98376
172,,,0.0,0.98376
173,,,0.0,0.98376
174,,,0.0,0.98376
175,,,0.0,0.98376
176,,,0.0,0.98376
177,,,0.0,0.98376
178,,,0.0,0.98376
179,,,0.0,0.98376
180,,,0.0,0.98376
181,,,0.0,0.98376
182,,,1e-05,0.98376
183,,,2e-05,0.98376
184,,,1e-05,0.98376
185,,,1e-05,0.98376
186,,,0.0,0.98376
187,,,0.0,0.98376
188,,,2e-05,0.98376
189,,,0.0,0.98376
190,,,0.0,0.98376
191,,,0.0,0.98376
192,,,0.0,0.98376
193,,,0.0,0.98376
194,,,0.0,0.98376
195,,,0.0,0.98376
196,,,0.0,0.98376
197,,,0.0,0.98376
198,,,1e-05,0.98376
199,,,1e-05,0.98376
