severity,pattern,recovery,fraction_nominal,truth_fraction_actual,elements_checked,elements_crc_fail,observed_load,observed_access
light,burst_accum,drop,0.01,0.01,1000000,10000,0.01,0.010031387543260686
light,burst_accum,fallback_eb,0.01,0.01,1000000,10000,0.01,0.010071955165503741
light,burst_accum,drop,0.05,0.05,1000000,50000,0.05,0.05006359028520473
light,burst_accum,fallback_eb,0.05,0.05,1000000,50000,0.05,0.05008964813851942
light,burst_accum,drop,0.08,0.08,1000000,80000,0.08,0.08006662664833696
light,burst_accum,fallback_eb,0.08,0.08,1000000,80000,0.08,0.0797374716240798
light,burst_accum,drop,0.2,0.2,1000000,200000,0.2,0.20016685737709083
light,burst_accum,fallback_eb,0.2,0.2,1000000,200000,0.2,0.20095843042194947
light,burst_accum,drop,0.57,0.57,1000000,570000,0.57,0.5700851755988959
light,burst_accum,fallback_eb,0.57,0.57,1000000,570000,0.57,0.5699100894318893
light,clustered_accum,drop,0.01,0.01,1000000,10000,0.01,0.009827400649403649
light,clustered_accum,fallback_eb,0.01,0.01,1000000,10000,0.01,0.009649824528250596
light,clustered_accum,drop,0.05,0.05,1000000,50000,0.05,0.050575018708531816
light,clustered_accum,fallback_eb,0.05,0.05,1000000,50000,0.05,0.0506072286783023
light,clustered_accum,drop,0.08,0.08,1000000,80000,0.08,0.0801454847222004
light,clustered_accum,fallback_eb,0.08,0.08,1000000,80000,0.08,0.0815062188217597
light,clustered_accum,drop,0.2,0.2,1000000,200000,0.2,0.19951280110640285
light,clustered_accum,fallback_eb,0.2,0.2,1000000,200000,0.2,0.19989759074291996
light,clustered_accum,drop,0.57,0.57,1000000,570000,0.57,0.569678807885493
light,clustered_accum,fallback_eb,0.57,0.57,1000000,570000,0.57,0.5716748795129265
light,cross_row_accum,drop,0.01,0.01,1000000,10000,0.01,0.010022874319923662
light,cross_row_accum,fallback_eb,0.01,0.01,1000000,10000,0.01,0.009964509550223374
light,cross_row_accum,drop,0.05,0.05,1000000,50000,0.05,0.04989148016503149
light,cross_row_accum,fallback_eb,0.05,0.05,1000000,50000,0.05,0.050200721939986044
light,cross_row_accum,drop,0.08,0.08,1000000,80000,0.08,0.07986581819699001
light,cross_row_accum,fallback_eb,0.08,0.08,1000000,80000,0.08,0.07980825998368443
light,cross_row_accum,drop,0.2,0.2,1000000,200000,0.2,0.19994028029694283
light,cross_row_accum,fallback_eb,0.2,0.2,1000000,200000,0.2,0.20026647098170733
light,cross_row_accum,drop,0.57,0.57,1000000,570000,0.57,0.5701954255792809
light,cross_row_accum,fallback_eb,0.57,0.57,1000000,570000,0.57,0.5699404543072816
light,uniform_accum,drop,0.01,0.01,1000000,10000,0.01,0.010121370309291734
light,uniform_accum,fallback_eb,0.01,0.01,1000000,10000,0.01,0.010229103209354915
light,uniform_accum,drop,0.05,0.05,1000000,50000,0.05,0.049985501622629935
light,uniform_accum,fallback_eb,0.05,0.05,1000000,50000,0.05,0.04996994881956991
light,uniform_accum,drop,0.08,0.08,1000000,80000,0.08,0.08001040499001819
light,uniform_accum,fallback_eb,0.08,0.08,1000000,80000,0.08,0.07978187903351261
light,uniform_accum,drop,0.2,0.2,1000000,200000,0.2,0.19998448397372395
light,uniform_accum,fallback_eb,0.2,0.2,1000000,200000,0.2,0.19978348386331146
light,uniform_accum,drop,0.57,0.57,1000000,570000,0.57,0.5705554945868418
light,uniform_accum,fallback_eb,0.57,0.57,1000000,570000,0.57,0.5705425881717736
sev384,burst_accum,drop,0.01,0.01,1000000,10000,0.01,0.01003135579347826
sev384,burst_accum,fallback_eb,0.01,0.01,1000000,10000,0.01,0.010070821621349091
sev384,burst_accum,drop,0.05,0.05,1000000,50000,0.05,0.05006327978869792
sev384,burst_accum,fallback_eb,0.05,0.05,1000000,50000,0.05,0.05008566404313498
sev384,burst_accum,drop,0.08,0.08,1000000,80000,0.08,0.08006640006162939
sev384,burst_accum,fallback_eb,0.08,0.08,1000000,80000,0.08,0.0797328685637353
sev384,burst_accum,drop,0.2,0.2,1000000,200000,0.2,0.20016767978887773
sev384,burst_accum,fallback_eb,0.2,0.2,1000000,200000,0.2,0.2009661528080077
sev384,burst_accum,drop,0.57,0.57,1000000,570000,0.57,0.5700836908858774
sev384,burst_accum,fallback_eb,0.57,0.57,1000000,570000,0.57,0.56989662404187
sev384,clustered_accum,drop,0.01,0.01,1000000,10000,0.01,0.009827399173747572
sev384,clustered_accum,fallback_eb,0.01,0.01,1000000,10000,0.01,0.009650073781016044
sev384,clustered_accum,drop,0.05,0.05,1000000,50000,0.05,0.050574789377541104
sev384,clustered_accum,fallback_eb,0.05,0.05,1000000,50000,0.05,0.0506049585815985
sev384,clustered_accum,drop,0.08,0.08,1000000,80000,0.08,0.08014526239132855
sev384,clustered_accum,fallback_eb,0.08,0.08,1000000,80000,0.08,0.08150354403072609
sev384,clustered_accum,drop,0.2,0.2,1000000,200000,0.2,0.1995128840198209
sev384,clustered_accum,fallback_eb,0.2,0.2,1000000,200000,0.2,0.199917332598512
sev384,clustered_accum,drop,0.57,0.57,1000000,570000,0.57,0.5696774618077762
sev384,clustered_accum,fallback_eb,0.57,0.57,1000000,570000,0.57,0.5717010871224009
sev384,cross_row_accum,drop,0.01,0.01,1000000,10000,0.01,0.010022818373927074
sev384,cross_row_accum,fallback_eb,0.01,0.01,1000000,10000,0.01,0.009964556446109933
sev384,cross_row_accum,drop,0.05,0.05,1000000,50000,0.05,0.04989153088936994
sev384,cross_row_accum,fallback_eb,0.05,0.05,1000000,50000,0.05,0.050205905102458974
sev384,cross_row_accum,drop,0.08,0.08,1000000,80000,0.08,0.07986540950539621
sev384,cross_row_accum,fallback_eb,0.08,0.08,1000000,80000,0.08,0.07980890118179532
sev384,cross_row_accum,drop,0.2,0.2,1000000,200000,0.2,0.199939215510694
sev384,cross_row_accum,fallback_eb,0.2,0.2,1000000,200000,0.2,0.20024787716266257
sev384,cross_row_accum,drop,0.57,0.57,1000000,570000,0.57,0.5701949727209422
sev384,cross_row_accum,fallback_eb,0.57,0.57,1000000,570000,0.57,0.5699386455616354
sev384,uniform_accum,drop,0.01,0.01,1000000,10000,0.01,0.010121405673572104
sev384,uniform_accum,fallback_eb,0.01,0.01,1000000,10000,0.01,0.010229618239639672
sev384,uniform_accum,drop,0.05,0.05,1000000,50000,0.05,0.04998559710336565
sev384,uniform_accum,fallback_eb,0.05,0.05,1000000,50000,0.05,0.04996945532253023
sev384,uniform_accum,drop,0.08,0.08,1000000,80000,0.08,0.08001041102030593
sev384,uniform_accum,fallback_eb,0.08,0.08,1000000,80000,0.08,0.07978006110383033
sev384,uniform_accum,drop,0.2,0.2,1000000,200000,0.2,0.19998564197618926
sev384,uniform_accum,fallback_eb,0.2,0.2,1000000,200000,0.2,0.19977369636765038
sev384,uniform_accum,drop,0.57,0.57,1000000,570000,0.57,0.5705532991419499
sev384,uniform_accum,fallback_eb,0.57,0.57,1000000,570000,0.57,0.5705568012630587
