index,region,kind,bucket,byte_len,bits,pct_of_total,element_dtype,located
FLAT,header,header,crash_structure,45,360,8.789061727523871e-06,uint8,False
FLAT,vectors,vectors,recall_relevant,512000000,4096000000,99.99999121093828,float32,True
IVF_FLAT,header,header,crash_structure,98,784,1.8826870098605676e-05,uint8,False
IVF_FLAT,centroid,centroid,recall_relevant,524288,4194304,0.10072144969650787,float32,True
IVF_FLAT,codes_meta,codes_meta,crash_structure,8233,65864,0.0015816491992022503,uint8,False
IVF_FLAT,codes,codes,recall_relevant,520000000,4160000000,99.8976780742342,float32,False
IVF_SQ8,header,header,crash_structure,98,784,7.177715729761874e-05,uint8,False
IVF_SQ8,centroid,centroid,recall_relevant,524288,4194304,0.38399900250259117,float32,True
IVF_SQ8,sq_scale,sq_scale,recall_relevant,1024,8192,0.0007499980517628734,float32,True
IVF_SQ8,codes_meta,codes_meta,crash_structure,8233,65864,0.006030013632972398,uint8,False
IVF_SQ8,codes,codes,recall_relevant,136000000,1088000000,99.60911624975661,uint8,False
IVF_SQ8,unaccounted,unaccounted,benign,45,360,3.2958898759110644e-05,uint8,False
IVF_PQ_M8,header,header,crash_structure,98,784,0.0005881035532736605,uint8,False
IVF_PQ_M8,centroid,centroid,recall_relevant,524288,4194304,3.1462819973340905,float32,True
IVF_PQ_M8,pq_codebook,pq_codebook,recall_relevant,131072,1048576,0.7865704993335226,float32,True
IVF_PQ_M8,codes_meta,codes_meta,crash_structure,8224,65792,0.04935269002165901,uint8,False
IVF_PQ_M8,codes,codes,recall_relevant,16000000,128000000,96.01690665692415,uint8,False
IVF_PQ_M8,unaccounted,unaccounted,benign,50,400,0.000300052833302888,uint8,False
IVF_PQ_M16,header,header,crash_structure,98,784,0.0003973445705621517,uint8,False
IVF_PQ_M16,centroid,centroid,recall_relevant,524288,4194304,2.1257447980703,float32,True
IVF_PQ_M16,pq_codebook,pq_codebook,recall_relevant,131072,1048576,0.531436199517575,float32,True
IVF_PQ_M16,codes_meta,codes_meta,crash_structure,8224,65792,0.033344507635746284,uint8,False
IVF_PQ_M16,codes,codes,recall_relevant,24000000,192000000,97.3088744233841,uint8,False
IVF_PQ_M16,unaccounted,unaccounted,benign,50,400,0.00020272682171538353,uint8,False
HNSW,graph_meta,graph_meta,crash_structure,12000161,96001288,1.5303799829208315,uint8,False
HNSW,graph_edges,graph_edges,crash_structure,260129280,2081034240,33.1742751687755,uint8,True
HNSW,vectors,vectors,recall_relevant,512000000,4096000000,65.29533655885665,float32,True
HNSW,unaccounted,unaccounted,benign,65,520,8.289447024073597e-06,uint8,False
HNSW_SQ8,graph_meta,graph_meta,crash_structure,12000161,96001288,2.9990613114020386,uint8,False
HNSW_SQ8,graph_edges,graph_edges,crash_structure,260129280,2081034240,65.0110994019887,uint8,True
HNSW_SQ8,sq_scale,sq_scale,recall_relevant,1024,8192,0.0002559164650270682,float32,True
HNSW_SQ8,codes,codes,recall_relevant,128000008,1024000064,31.989560127730908,uint8,False
HNSW_SQ8,unaccounted,unaccounted,benign,93,744,2.3242413327653654e-05,uint8,False
